run,mode,pause_ms,alloc_stats,elapsed_ms,mib_s,fast_done_us,peak_held_bytes,paused_held_bytes,peak_wire_bytes,probe_samples,probe_p50_us,probe_p99_us,turn_p99_us,allocations,reallocations,allocated_bytes,blocked_writes
1,owned,0,true,56.441,283.484,56263,262152,0,0,45,695,1273,708,5142,10,135124026,0
1,pull,0,true,58.745,272.362,58739,262152,0,0,44,749,1260,671,5073,9,135840274,0
2,pull,0,true,58.846,271.895,58837,262152,0,0,44,718,1264,704,5076,8,136299042,0
2,owned,0,true,57.770,276.963,57675,262152,0,0,45,712,1356,679,5151,8,134961298,0
3,owned,0,true,56.814,281.619,56674,262152,0,0,45,748,1099,730,5107,8,134928154,0
3,pull,0,true,58.157,275.116,58053,262152,0,0,46,705,1051,685,5101,8,136170738,0
4,pull,0,true,58.105,275.363,58100,262152,0,0,44,704,1275,644,5083,8,136136682,0
4,owned,0,true,57.661,277.486,57565,262152,0,0,44,713,1373,680,5116,8,134992914,0
5,owned,0,true,56.896,281.215,56894,262152,0,0,45,719,1090,712,5142,8,135518652,0
5,pull,0,true,57.745,277.082,57648,262152,0,0,45,709,1033,664,5063,8,135711468,0
1,owned,200,true,201.301,79.483,58096,8454144,8454144,0,183,171,1368,623,7859,13,135129034,0
1,pull,200,true,230.451,69.429,30806,524296,524296,65584,215,170,937,438,8673,8,149815498,3012
2,pull,200,true,229.469,69.726,31333,524296,524296,65584,215,170,802,416,8661,8,150469226,2991
2,owned,200,true,200.907,79.639,57926,8454152,8454152,0,182,171,1234,548,7867,13,135454466,0
3,owned,200,true,200.888,79.647,71618,8454152,8454152,0,176,176,1726,644,7724,13,134924322,0
3,pull,200,true,229.465,69.727,30802,524296,524296,65584,213,169,735,453,8657,9,148244282,2999
4,pull,200,true,229.082,69.844,31619,524288,524288,65584,213,170,771,429,8621,8,149748266,2990
4,owned,200,true,200.990,79.606,57772,8519680,8519680,0,183,170,1331,592,7897,13,134998156,0
5,owned,200,true,201.119,79.555,58216,8519688,8519688,0,181,170,1165,520,7878,13,135258202,0
5,pull,200,true,229.118,69.833,36213,524296,524296,65584,210,171,851,539,8561,8,149810306,2887
