case,run,mode,size,pause_ms,rate,alloc_stats,elapsed_ms,mib_s,fast_done_us,slow_done_us,peak_payload,peak_slow,probes,probe_p50_us,probe_p99_us,probe_max_us,max_probe_gap_us,polls,sleeps,skip_polls,rejected,allocations,allocated_bytes,live_heap_peak_delta,rss_peak_bytes,cpu_user_s,cpu_system_s,os_peak_footprint_bytes
active-32MiB,1,ack,33554432,0,0,true,269.224,237.720,269201,269223,196608,131072,114,1434,2671,3639,10642,514,0,0,0,45132,574768071,786625,4997120,0.23,0.02,3768656
active-32MiB,1,pull,33554432,0,0,true,264.837,241.658,264775,264837,196608,131072,121,1038,1452,1468,3045,515,0,0,0,31931,563564605,1114741,5210112,0.24,0.01,3965264
active-32MiB,1,pause,33554432,0,0,true,242.361,264.069,242121,242136,196608,131072,105,1360,1441,1452,2875,517,1,0,0,34212,571834009,786705,4145152,0.22,0.02,2916688
active-32MiB,1,current,33554432,0,0,true,244.454,261.808,244438,244453,196608,131072,105,1409,1491,1546,2862,514,0,0,0,34217,573536789,785985,4046848,0.22,0.02,2818384
active-32MiB,2,pull,33554432,0,0,true,250.607,255.380,250546,250606,262144,131072,114,1452,1562,1832,3221,517,0,0,1,32017,603229291,1311341,5341184,0.22,0.02,4079952
active-32MiB,2,ack,33554432,0,0,true,247.088,259.018,247028,247055,196608,131072,108,1413,1617,1649,3051,515,0,0,0,45056,574767051,786625,4571136,0.22,0.02,3342672
active-32MiB,2,current,33554432,0,0,true,259.500,246.628,259482,259500,196608,131072,117,1010,1077,1084,2654,513,0,0,0,34133,554250819,654913,4587520,0.24,0.01,3359056
active-32MiB,2,pause,33554432,0,0,true,240.277,266.360,240055,240070,196608,131072,104,1382,1440,1446,2813,516,1,0,0,34224,572683089,785985,4505600,0.22,0.01,3277136
active-32MiB,3,pull,33554432,0,0,true,251.339,254.637,251063,251338,196608,131072,115,1437,1644,1729,3390,517,0,0,0,32072,594869513,1246165,5259264,0.22,0.02,4014416
active-32MiB,3,ack,33554432,0,0,true,252.359,253.607,252335,252358,196608,131072,112,1422,1631,1667,2957,514,0,0,0,45090,574766106,786625,4603904,0.22,0.02,3375440
active-32MiB,3,pause,33554432,0,0,true,262.425,243.880,262406,262424,196608,131072,123,1029,1105,1148,2626,513,0,0,0,34275,554663337,655281,4440064,0.24,0.01,3211600
active-32MiB,3,current,33554432,0,0,true,260.162,246.000,260143,260162,196608,131072,117,1015,1116,1122,2604,513,0,0,0,34144,554054979,654497,4653056,0.24,0.01,3424592
paced-8MiB,1,ack,8388608,0,4194304,true,2000.163,7.999,34940,2000163,393216,262144,953,440,526,961,2457,13162,10062,0,0,249021,151057172,785735,4489216,0.10,0.10,3260752
paced-8MiB,1,pause,8388608,0,4194304,true,2000.075,8.000,1922273,2000075,327680,327680,67,46777,47104,61564,61569,11835,11190,11394,3504,119892,386358973,1376305,6225920,0.09,0.06,4981072
paced-8MiB,1,pull,8388608,0,4194304,true,2000.198,7.999,34912,2000197,393216,262144,950,267,645,1073,2911,12961,10084,0,1705,248001,272822581,1178905,5324800,0.10,0.09,4063568
paced-8MiB,1,current,8388608,0,4194304,true,2000.021,8.000,60397,2000020,8257536,8192000,947,273,1029,2950,4850,12849,10054,0,0,239680,156758781,8786065,12156928,0.09,0.09,10928464
paced-8MiB,2,ack,8388608,0,4194304,true,2000.035,8.000,34804,2000035,393216,262144,954,265,521,1015,2411,13116,10078,0,0,248364,151120388,786519,4587520,0.10,0.10,3359056
paced-8MiB,2,pause,8388608,0,4194304,true,2000.043,8.000,1922232,2000043,327680,327680,67,46786,47062,61642,61646,11901,11274,11464,3519,120445,387367381,1376657,5439488,0.09,0.06,4194640
paced-8MiB,2,pull,8388608,0,4194304,true,2000.095,8.000,34934,2000095,393216,262144,944,394,591,5137,8091,12976,9971,0,1700,248054,272468681,1179321,6012928,0.10,0.09,4768104
paced-8MiB,2,current,8388608,0,4194304,true,2000.078,8.000,60256,2000078,8257536,8192000,950,258,946,980,5229,12862,10027,0,0,239911,155211511,8785705,12107776,0.10,0.09,10879312
paced-8MiB,3,ack,8388608,0,4194304,true,2000.077,8.000,41331,2000077,393216,262144,955,260,520,986,4692,12967,9945,0,0,246061,151706230,785783,4931584,0.10,0.10,3719528
paced-8MiB,3,current,8388608,0,4194304,true,2000.043,8.000,61063,2000043,8257536,8192000,956,257,1070,1687,3502,12942,10139,0,0,241440,156817737,8785337,12156928,0.10,0.09,10928464
paced-8MiB,3,pause,8388608,0,4194304,true,2000.072,8.000,1922320,2000071,327680,327680,68,46749,47008,47014,47018,11872,11295,11430,3459,120036,383412515,1376305,6324224,0.09,0.05,5095784
paced-8MiB,3,pull,8388608,0,4194304,true,2000.086,8.000,33863,2000086,393216,262144,948,280,832,3081,4951,12957,10013,0,1703,247884,272677643,1179689,5373952,0.10,0.09,4112720
paused-8MiB,1,ack,8388608,750,0,true,782.513,20.447,34515,782512,393216,262144,372,399,546,1028,2632,4987,3754,0,0,100620,144202376,786391,4227072,0.07,0.04,2998608
paused-8MiB,1,pause,8388608,750,0,true,811.548,19.715,811422,811548,327680,262144,30,1569,2003,750038,751252,4515,4377,4384,1458,49602,249164633,1376101,6160384,0.07,0.02,4915536
paused-8MiB,1,pull,8388608,750,0,true,781.473,20.474,33037,781473,393167,262095,371,259,489,969,4877,4904,3724,0,666,97666,189924445,982959,4685824,0.07,0.03,3424592
paused-8MiB,1,current,8388608,750,0,true,755.964,21.165,60088,755963,8454144,8388608,358,279,961,965,2396,4819,3617,0,0,93459,146055783,8982313,12288000,0.07,0.03,11059536
paused-8MiB,2,ack,8388608,750,0,true,781.870,20.464,32819,781869,393216,262144,371,443,512,954,2531,5028,3753,0,0,101229,144340483,786391,4227072,0.07,0.04,2998608
paused-8MiB,2,pause,8388608,750,0,true,810.999,19.729,810878,810998,327680,262144,28,1441,1856,749699,751026,4518,4380,4387,1459,49570,246411089,1244727,5439488,0.07,0.02,4194640
paused-8MiB,2,current,8388608,750,0,true,755.771,21.170,59687,755770,8454144,8388608,356,443,1400,1419,2768,4792,3571,0,0,93087,148522011,8982665,12337152,0.07,0.04,11108688
paused-8MiB,2,pull,8388608,750,0,true,783.118,20.431,33004,783117,393167,262095,371,442,568,988,2380,5014,3739,0,681,99471,191050053,982959,4915200,0.07,0.04,3653968
paused-8MiB,3,current,8388608,750,0,true,756.190,21.159,61683,756187,8454144,8388608,358,276,1069,1437,2826,4804,3608,0,0,93251,146573061,8981953,12369920,0.07,0.04,11141456
paused-8MiB,3,pause,8388608,750,0,true,810.571,19.739,810478,810570,327680,262144,29,1487,1786,750130,751319,4513,4375,4382,1457,49550,249091347,1376101,5144576,0.07,0.02,3899728
paused-8MiB,3,pull,8388608,750,0,true,782.448,20.449,33529,782448,393167,262095,372,269,638,945,2694,4967,3750,0,673,98667,193172867,982959,4603904,0.07,0.03,3342672
paused-8MiB,3,ack,8388608,750,0,true,782.434,20.449,33829,782434,393216,262144,372,439,606,968,2438,4987,3751,0,0,100621,143346289,786391,4620288,0.07,0.04,3391824
paused-32MiB,1,current,33554432,750,0,true,773.054,82.789,264573,773053,33619968,33554432,359,448,1694,1764,4558,4136,2474,0,0,99546,568349443,34159649,38158336,0.26,0.04,36946280
paused-32MiB,1,pause,33554432,750,0,true,998.675,64.085,998581,998674,327680,262144,115,1508,1865,750022,751244,4888,4366,4373,1458,75236,703966333,1245095,5750784,0.24,0.04,4505936
paused-32MiB,1,pull,33554432,750,0,true,881.176,72.630,129679,881176,393167,262095,411,285,689,1008,2760,5098,3244,0,674,117934,632969629,982959,4653056,0.24,0.05,3391824
paused-32MiB,1,ack,33554432,750,0,true,882.475,72.523,133222,882474,393216,262144,422,270,601,924,2489,4991,3259,0,0,131578,552068532,785975,4603904,0.25,0.05,3375440
paused-32MiB,2,ack,33554432,750,0,true,882.719,72.503,134762,882718,393216,262144,422,261,591,1010,2550,4962,3246,0,0,131161,551491146,785607,4554752,0.25,0.05,3326288
paused-32MiB,2,pull,33554432,750,0,true,879.612,72.759,138282,879612,393167,262095,418,268,875,1011,2736,4967,3220,0,676,116342,622074823,982959,4964352,0.25,0.04,3703120
paused-32MiB,2,current,33554432,750,0,true,773.655,82.724,238978,773655,33619968,33554432,357,270,1427,1431,5090,4345,2636,0,0,102931,573687785,34160433,37650432,0.23,0.04,36438376
