case,run,mode,size,pause_ms,rate,alloc_stats,elapsed_ms,mib_s,fast_done_us,slow_done_us,peak_payload,peak_slow,probes,probe_p50_us,probe_p99_us,probe_max_us,max_probe_gap_us,polls,sleeps,skip_polls,rejected,allocations,allocated_bytes,live_heap_peak_delta,rss_peak_bytes,cpu_user_s,cpu_system_s,os_peak_footprint_bytes
active-32MiB,1,ack,33554432,0,0,false,242.559,263.853,242493,242513,196608,131072,104,1392,1439,1500,2917,516,0,0,0,0,0,0,4063232,0.22,0.02,2933072
active-32MiB,1,pull,33554432,0,0,false,245.708,260.472,245646,245707,196608,131072,112,1433,1495,1913,3202,517,0,0,1,0,0,0,4784128,0.22,0.01,3588432
active-32MiB,1,pause,33554432,0,0,false,238.354,268.508,238339,238354,196608,131072,103,1357,1418,1423,2804,514,0,0,0,0,0,0,4030464,0.22,0.01,2900304
active-32MiB,1,current,33554432,0,0,false,237.939,268.976,237924,237939,196608,131072,103,1378,1423,1431,2803,514,0,0,0,0,0,0,3981312,0.22,0.01,2851152
active-32MiB,2,pull,33554432,0,0,false,249.342,256.676,249280,249341,262144,131072,115,1443,1597,1682,3250,518,0,0,2,0,0,0,4767744,0.22,0.02,3572048
active-32MiB,2,ack,33554432,0,0,false,244.749,261.492,244726,244748,196608,131072,106,1401,1502,1564,2862,514,0,0,0,0,0,0,4046848,0.22,0.02,2916688
active-32MiB,2,current,33554432,0,0,false,241.835,264.644,241819,241834,196608,131072,105,1357,1423,1433,2803,514,0,0,0,0,0,0,4407296,0.22,0.01,3277136
active-32MiB,2,pause,33554432,0,0,false,255.152,250.831,255130,255151,196608,131072,107,1374,2945,3181,4182,514,0,0,0,0,0,0,4947968,0.23,0.02,3834216
active-32MiB,3,pull,33554432,0,0,false,253.266,252.699,253203,253265,196608,131072,115,1437,1721,1850,3062,523,0,0,6,0,0,0,5586944,0.23,0.02,4391248
active-32MiB,3,ack,33554432,0,0,false,250.087,255.911,250052,250086,196608,131072,110,1422,1524,1639,2912,514,0,0,0,0,0,0,4440064,0.23,0.02,3309904
active-32MiB,3,pause,33554432,0,0,false,247.609,258.472,247593,247608,196608,131072,104,989,1421,1449,2802,514,0,0,0,0,0,0,4030464,0.23,0.01,2900304
active-32MiB,3,current,33554432,0,0,false,237.906,269.014,237890,237905,196608,131072,103,1372,1426,1436,2836,514,0,0,0,0,0,0,3964928,0.22,0.01,2834768
active-32MiB,4,ack,33554432,0,0,false,248.471,257.575,248398,248422,196608,131072,110,1414,1537,1542,2865,516,0,0,0,0,0,0,4014080,0.23,0.01,2883920
active-32MiB,4,pause,33554432,0,0,false,238.219,268.661,238203,238218,196608,131072,103,1375,1428,1492,2830,514,0,0,0,0,0,0,4014080,0.22,0.01,2883920
active-32MiB,4,pull,33554432,0,0,false,246.501,259.634,246285,246500,196608,131072,112,1431,1473,1741,3203,523,0,0,5,0,0,0,5029888,0.22,0.02,3834192
active-32MiB,4,current,33554432,0,0,false,238.665,268.158,238649,238664,196608,131072,103,1367,1429,1445,2811,514,0,0,0,0,0,0,3997696,0.22,0.01,2867536
active-32MiB,5,ack,33554432,0,0,false,243.817,262.492,243797,243817,196608,131072,105,1408,1445,1452,2867,514,0,0,0,0,0,0,4063232,0.22,0.02,2933072
active-32MiB,5,pause,33554432,0,0,false,238.654,268.171,238638,238653,196608,131072,103,1371,1425,1429,2815,514,0,0,0,0,0,0,3997696,0.22,0.01,2867536
active-32MiB,5,pull,33554432,0,0,false,246.760,259.362,246479,246759,262144,131072,113,1434,1515,1822,3155,518,0,0,1,0,0,0,4734976,0.22,0.02,3539280
active-32MiB,5,current,33554432,0,0,false,248.320,257.732,248099,248116,196608,131072,109,1397,1657,1676,2885,516,1,0,0,0,0,0,4390912,0.22,0.02,3260752
active-32MiB,6,ack,33554432,0,0,false,248.001,258.064,247982,248000,196608,131072,108,1404,1584,1670,2874,514,0,0,0,0,0,0,4538368,0.22,0.02,3408208
active-32MiB,6,current,33554432,0,0,false,238.358,268.504,238342,238357,196608,131072,103,1377,1420,1421,2817,514,0,0,0,0,0,0,3997696,0.22,0.01,2867536
active-32MiB,6,pause,33554432,0,0,false,238.956,267.832,238940,238955,196608,131072,103,1385,1418,1420,2826,514,0,0,0,0,0,0,3997696,0.22,0.01,2867536
active-32MiB,6,pull,33554432,0,0,false,246.904,259.210,246840,246904,262144,131072,114,1441,1469,1752,3182,518,0,0,2,0,0,0,4751360,0.22,0.02,3555664
active-32MiB,7,ack,33554432,0,0,false,252.271,253.696,252211,252234,196608,131072,109,980,1432,1443,2854,515,0,0,0,0,0,0,4456448,0.23,0.01,3326288
active-32MiB,7,pause,33554432,0,0,false,251.047,254.932,251032,251047,196608,131072,107,992,1438,1452,2880,514,0,0,0,0,0,0,4538368,0.23,0.01,3408208
active-32MiB,7,pull,33554432,0,0,false,247.063,259.043,247002,247063,196608,131072,112,1436,1496,1743,3201,520,0,0,3,0,0,0,4702208,0.22,0.02,3506512
active-32MiB,7,current,33554432,0,0,false,237.730,269.212,237715,237730,196608,131072,103,1375,1423,1444,2796,514,0,0,0,0,0,0,3997696,0.22,0.01,2867536
paced-8MiB,1,ack,8388608,0,4194304,false,2000.033,8.000,33114,2000033,393216,262144,946,441,524,945,14946,13144,9979,0,0,0,0,0,4227072,0.10,0.10,3096912
paced-8MiB,1,pause,8388608,0,4194304,false,2000.542,7.998,1922197,2000121,327680,327680,67,46782,47011,61587,61590,11839,11211,11392,3509,0,0,0,5455872,0.10,0.06,4309328
paced-8MiB,1,current,8388608,0,4194304,false,2000.243,7.999,60596,2000028,8257536,8192000,946,444,978,2143,6761,13016,10055,0,0,0,0,0,12075008,0.09,0.10,10944848
