run,mode,pause_ms,alloc_stats,elapsed_ms,mib_s,fast_done_us,peak_held_bytes,probe_samples,probe_p99_us,allocations,allocated_bytes
1,pull,0,true,65.318,244.954,65290,196608,49,962,10381,135048882
1,chunk,0,true,66.929,239.059,66901,196608,55,1015,10462,135051746
2,chunk,0,true,66.031,242.310,66003,196608,53,993,10427,135049970
2,pull,0,true,66.374,241.058,66349,196608,52,1064,10432,135051418
3,pull,0,true,67.645,236.529,67617,196608,57,952,10516,135055474
3,chunk,0,true,66.698,239.888,66670,196608,54,987,10454,135051834
4,chunk,0,true,66.451,240.778,66408,196608,53,924,10449,135052098
4,pull,0,true,73.508,217.663,73483,196608,61,1319,10579,135058098
5,pull,0,true,68.789,232.594,68755,196608,58,1056,10525,135055722
5,chunk,0,true,65.146,245.603,65119,196608,50,961,10368,135047082
1,pull,200,true,235.443,67.957,38551,393170,218,463,113997,147697234
1,chunk,200,true,237.927,67.248,38304,393170,222,486,114965,147744118
2,chunk,200,true,238.319,67.137,38398,393170,222,460,115276,147756670
2,pull,200,true,235.809,67.852,38636,393170,219,529,112597,147638330
3,pull,200,true,237.869,67.264,40519,393170,218,669,108213,147452970
3,chunk,200,true,236.690,67.599,39770,393170,217,634,110010,147529222
4,chunk,200,true,238.919,66.968,39520,393170,220,506,110980,147572296
4,pull,200,true,236.463,67.664,40394,393170,217,485,111884,147611152
5,pull,200,true,236.718,67.591,39022,393170,218,623,113417,147676120
5,chunk,200,true,238.581,67.063,37622,393170,221,494,112764,147647648
