run,mode,pause_ms,alloc_stats,elapsed_ms,mib_s,fast_done_us,peak_held_bytes,probe_samples,probe_p99_us,allocations,allocated_bytes
1,pull,0,false,68.161,234.740,68135,196608,59,940,0,0
1,chunk,0,false,67.317,237.682,67291,196608,57,965,0,0
2,chunk,0,false,66.627,240.142,66594,196608,55,982,0,0
2,pull,0,false,66.139,241.916,66112,196608,54,960,0,0
3,pull,0,false,67.802,235.982,67775,196608,55,1159,0,0
3,chunk,0,false,66.832,239.406,66804,196608,55,998,0,0
4,chunk,0,false,66.044,242.264,66016,196608,53,997,0,0
4,pull,0,false,68.402,233.912,68374,196608,57,1020,0,0
5,pull,0,false,67.629,236.584,67602,196608,57,987,0,0
5,chunk,0,false,67.377,237.468,67351,196608,56,1022,0,0
1,pull,200,false,235.888,67.829,39050,393170,217,510,0,0
1,chunk,200,false,238.227,67.163,38659,393170,220,486,0,0
2,chunk,200,false,238.644,67.045,39410,393170,220,496,0,0
2,pull,200,false,236.874,67.547,39847,393170,218,476,0,0
3,pull,200,false,235.811,67.851,39425,393170,217,517,0,0
3,chunk,200,false,239.637,66.768,39109,393170,221,538,0,0
4,chunk,200,false,238.237,67.160,39803,393170,220,465,0,0
4,pull,200,false,238.370,67.122,40113,393170,217,529,0,0
5,pull,200,false,236.610,67.622,40357,393170,216,475,0,0
5,chunk,200,false,238.439,67.103,38635,393170,220,546,0,0
