run,mode,pause_ms,alloc_stats,elapsed_ms,mib_s,fast_done_us,peak_held_bytes,paused_held_bytes,peak_wire_bytes,probe_samples,probe_p50_us,probe_p99_us,turn_p99_us,allocations,reallocations,allocated_bytes,blocked_writes
1,owned,0,false,56.821,281.586,56820,262152,0,0,45,692,1149,693,0,0,0,0
1,pull,0,false,72.039,222.101,72037,393224,0,131168,47,873,2524,1611,0,0,0,0
2,pull,0,false,59.696,268.024,59695,262152,0,0,44,726,1343,723,0,0,0,0
2,owned,0,false,57.889,276.390,57731,262152,0,0,46,726,1409,805,0,0,0,0
3,owned,0,false,58.283,274.523,58191,262152,0,0,45,703,1192,707,0,0,0,0
3,pull,0,false,59.000,271.186,58999,262152,0,0,44,725,1385,669,0,0,0,0
4,pull,0,false,58.701,272.569,58510,262152,0,0,46,712,1138,660,0,0,0,0
4,owned,0,false,56.971,280.844,56864,262152,0,0,44,691,1335,681,0,0,0,0
5,owned,0,false,57.510,278.212,57509,262152,0,0,45,708,1319,687,0,0,0,0
5,pull,0,false,59.030,271.048,58853,262152,0,0,44,709,983,660,0,0,0,0
1,owned,200,false,200.696,79.723,58370,8454144,8454144,0,181,170,1480,513,0,0,0,0
1,pull,200,false,229.081,69.844,31238,524296,524296,65584,214,169,948,423,0,0,0,3002
2,pull,200,false,229.356,69.761,31004,524296,524296,65584,215,169,844,461,0,0,0,3001
2,owned,200,false,201.051,79.582,57491,8454152,8454152,0,183,169,1333,532,0,0,0,0
3,owned,200,false,201.068,79.575,58193,8454152,8454152,0,183,171,1121,521,0,0,0,0
3,pull,200,false,229.345,69.764,31065,524296,524296,65584,213,169,956,436,0,0,0,3009
4,pull,200,false,229.243,69.795,31050,524296,524296,65584,211,167,846,513,0,0,0,2943
4,owned,200,false,201.301,79.483,56920,8454152,8454152,0,183,165,1218,601,0,0,0,0
5,owned,200,false,200.986,79.607,58461,8454152,8454152,0,183,169,1357,546,0,0,0,0
5,pull,200,false,229.152,69.823,31421,524296,524296,65584,214,170,857,472,0,0,0,3000
